run_id,table_type,table_m,hash_name,data_n,phase,metric,value
23,linear,20000027,mix,1000000,gaps,max,284
23,linear,20000027,mix,10000000,insert,time_ns,626295100
23,linear,20000027,mix,10000000,insert,collisions,5037502
23,linear,20000027,mix,10000000,insert,memory_bytes,104857640
23,linear,20000027,mix,10000000,search,time_ns,607543900
23,linear,20000027,mix,10000000,gaps,min,0
23,linear,20000027,mix,10000000,gaps,avg,1.0000027
23,linear,20000027,mix,10000000,gaps,max,31
24,doublehash,20000027,mod+dh,100000,insert,time_ns,10169500
24,doublehash,20000027,mod+dh,100000,insert,collisions,236
24,doublehash,20000027,mod+dh,100000,insert,memory_bytes,104857640
24,doublehash,20000027,mod+dh,100000,search,time_ns,4590900
24,doublehash,20000027,mod+dh,100000,gaps,min,0
24,doublehash,20000027,mod+dh,100000,gaps,avg,199.00027
24,doublehash,20000027,mod+dh,100000,gaps,max,2469
24,doublehash,20000027,mod+dh,1000000,insert,time_ns,62474300
24,doublehash,20000027,mod+dh,1000000,insert,collisions,25943
24,doublehash,20000027,mod+dh,1000000,insert,memory_bytes,104857640
24,doublehash,20000027,mod+dh,1000000,search,time_ns,40224800
24,doublehash,20000027,mod+dh,1000000,gaps,min,0
24,doublehash,20000027,mod+dh,1000000,gaps,avg,19.000027
24,doublehash,20000027,mod+dh,1000000,gaps,max,281
24,doublehash,20000027,mod+dh,10000000,insert,time_ns,759003300
24,doublehash,20000027,mod+dh,10000000,insert,collisions,3867562
24,doublehash,20000027,mod+dh,10000000,insert,memory_bytes,104857640
24,doublehash,20000027,mod+dh,10000000,search,time_ns,646007900
24,doublehash,20000027,mod+dh,10000000,gaps,min,0
24,doublehash,20000027,mod+dh,10000000,gaps,avg,1.0000027
24,doublehash,20000027,mod+dh,10000000,gaps,max,23
25,doublehash,20000027,mul+dh,100000,insert,time_ns,29433400
25,doublehash,20000027,mul+dh,100000,insert,collisions,272
25,doublehash,20000027,mul+dh,100000,insert,memory_bytes,104857640
25,doublehash,20000027,mul+dh,100000,search,time_ns,44788500
25,doublehash,20000027,mul+dh,100000,gaps,min,0
25,doublehash,20000027,mul+dh,100000,gaps,avg,199.00027
25,doublehash,20000027,mul+dh,100000,gaps,max,2293
25,doublehash,20000027,mul+dh,1000000,insert,time_ns,229110400
